11201920527,NA2ESTI002-17SA,ELETRÔNICA DIGITAL A2-Noturno (Santo André)
11201920527,NA1ESTI016-17SA,FUNDAMENTOS DE FOTÔNICA A1-Noturno (Santo André)
11202230271,DA5BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A5-Diurno (Santo André)
11202230271,DA3BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A3-Diurno (Santo André)
11202230271,DA2BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A2-Diurno (Santo André)
11202212398,NA6BIS0005-15SA,BASES COMPUTACIONAIS DA CIÊNCIA A6-Noturno (Santo André)
11202212398,NA4BIS0003-15SA,BASES MATEMÁTICAS A4-Noturno (Santo André)
11202212398,NA1ESTU040-17SA,PROJETO AMBIENTAL URBANO A1-Noturno (Santo André)
11201810602,DA1ESTG005-17SB,ENGENHARIA ECONÔMICA APLICADA A SISTEMAS DE GESTÃO A1-Diurno (São Bernardo)
11201810602,NA2ESTG013-17SB,PESQUISA OPERACIONAL A2-Noturno (São Bernardo)
11201810602,DA1ESTG022-17SB,SISTEMAS CAM A1-Diurno (São Bernardo)
11202020061,DAESZG023-17SB,CONTABILIDADE PARA ENGENHARIA A-Diurno (São Bernardo)
11202020061,NA1ESTG001-17SB,CUSTOS A1-Noturno (São Bernardo)
11202020061,NB1ESTO902-17SB,ENGENHARIA UNIFICADA I B1-Noturno (São Bernardo)
11201723022,NA2ESTO001-17SB,CIRCUITOS ELÉTRICOS E FOTÔNICA A2-Noturno (São Bernardo)
11201723022,NA1ESTM006-17SA,MATERIAIS POLIMÉRICOS A1-Noturno (Santo André)
11202320250,DABHO0102-15SB,DESENVOLVIMENTO E SUSTENTABILIDADE A-Diurno (São Bernardo)
11202320250,DA1ESHC008-21SB,ECONOMIA BRASILEIRA II A1-Diurno (São Bernardo)
11202320250,DABHQ0004-19SB,ESTUDOS DE GÊNERO A-Diurno (São Bernardo)
11202320250,DABHO1102-19SB,INTRODUÇÃO À ECONOMIA A-Diurno (São Bernardo)
11201920856,NA1ESZT017-17SB,DINÂMICAS TERRITORIAIS E RELAÇÕES ÉTNICO-RACIAIS NO BRASIL A1-Noturno (São Bernardo)
11201920856,NB1ESTO011-17SB,FUNDAMENTOS DE DESENHO TÉCNICO B1-Noturno (São Bernardo)
11201920856,NANHH2086-16SB,HISTÓRIA DA FILOSOFIA MEDIEVAL: DO SÉCULO IV AO X A-Noturno (São Bernardo)
11201920856,NB1BCM0505-22SB,PROCESSAMENTO DA INFORMAÇÃO B1-Noturno (São Bernardo)
11201920856,NANHH2073-18SB,TEORIA DO CONHECIMENTO: EMPIRISMO E RACIONALISMO A-Noturno (São Bernardo)
11202020902,DB2BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B2-Diurno (Santo André)
